IMMEDIATE THREATS NAME,IOC
Msiexec Impersonation - Exploit Leads to Data Exfiltration,848f7edb825813aee4c09c7f2ec71d27
Msiexec Impersonation - Exploit Leads to Data Exfiltration,https://23.81.246.84
Msiexec Impersonation - Exploit Leads to Data Exfiltration,http://5.239.37.78
Msiexec Impersonation - Exploit Leads to Data Exfiltration,http://2.58.56.14
Msiexec Impersonation - Exploit Leads to Data Exfiltration,http://185.220.101.76
Msiexec Impersonation - Exploit Leads to Data Exfiltration,http://5.114.3.200
Msiexec Impersonation - Exploit Leads to Data Exfiltration,http://5.113.111.4
Msiexec Impersonation - Exploit Leads to Data Exfiltration,http://35.196.132.85
Msiexec Impersonation - Exploit Leads to Data Exfiltration,http://8.0.26.137
Msiexec Impersonation - Exploit Leads to Data Exfiltration,http://192.221.154.141
,
https://thedfirreport.com/2022/06/06/will-the-real-msiexec-please-stand-up-exploit-leads-to-data-exfiltration/,
