"IMMEDIATE THREATS NAME","IOC","MD5","SHA1","SHA256"
"Quantum Ransomware","Quantombgfajfiaec5_browsingDll.dll","350f82de99b8696fea6e189fcd4ca454","deea45010006c8bde12a800d73475a5824ca2e6f","c140ae0ae0d71c2ebaf956c92595560e8883a99a3f347dfab2a886a8fb00d4d3"
"Quantum Ransomware","Quantombgfajfiaec4_browsingUnkn.dat","e9ad8fae2dd8f9d12e709af20d9aefad","db7d1545c3c7e60235700af672c1d20175b380cd","84f016ece77ddd7d611ffc0cbb2ce24184aeee3a2fdbb9d44d0837bc533ba238"
"Quantum Ransomware","Quantombgfajfiaec3_browsingLnk.lnk","adf0907a6114c2b55349c08251efdf50","aa25ae2f9dbe514169f4526ef4a61c1feeb1386a","3bb2f8c2d2d1c8da2a2051bd9621099689c5cd0a6b12aa8cb5739759e843e5e6"
"Quantum Ransomware","Quantombgfajfiaec2_browsingDll.dll","4a6ceabb2ce1b486398c254a5503b792","08a1c43bd1c63bbea864133d2923755aa2f74440","4a76a28498b7f391cdc2be73124b4225497232540247ca3662abd9ab2210be36"
"Quantum Ransomware","Quantombgfajfiaec1_browsingIso.iso","e051009b12b37c7ee16e810c135f1fef","415b27cd03d3d701a202924c26d25410ea0974d7","5bc00ad792d4ddac7d8568f98a717caff9d5ef389ed355a15b892cc10ab2887b"
"Quantum Ransomware","Quantombgfajfiaec5_edrDll.dll","350f82de99b8696fea6e189fcd4ca454","deea45010006c8bde12a800d73475a5824ca2e6f","c140ae0ae0d71c2ebaf956c92595560e8883a99a3f347dfab2a886a8fb00d4d3"
"Quantum Ransomware","Quantombgfajfiaec4_edrUnkn.dat","e9ad8fae2dd8f9d12e709af20d9aefad","db7d1545c3c7e60235700af672c1d20175b380cd","84f016ece77ddd7d611ffc0cbb2ce24184aeee3a2fdbb9d44d0837bc533ba238"
"Quantum Ransomware","Quantombgfajfiaec3_edrLnk.lnk","adf0907a6114c2b55349c08251efdf50","aa25ae2f9dbe514169f4526ef4a61c1feeb1386a","3bb2f8c2d2d1c8da2a2051bd9621099689c5cd0a6b12aa8cb5739759e843e5e6"
"Quantum Ransomware","Quantombgfajfiaec2_edrDll.dll","4a6ceabb2ce1b486398c254a5503b792","08a1c43bd1c63bbea864133d2923755aa2f74440","4a76a28498b7f391cdc2be73124b4225497232540247ca3662abd9ab2210be36"
"Quantum Ransomware","Quantombgfajfiaec1_edrIso.iso","e051009b12b37c7ee16e810c135f1fef","415b27cd03d3d701a202924c26d25410ea0974d7","5bc00ad792d4ddac7d8568f98a717caff9d5ef389ed355a15b892cc10ab2887b"
"Quantum Ransomware","http://157.245.142.66","","",""
"Quantum Ransomware","http://oceriesfornot.top","","",""
"Quantum Ransomware","http://138.68.42.130","","",""
"Quantum Ransomware","http://188.166.154.118","","",""
"Quantum Ransomware","http://dilimoretast.com","","",""
"Quantum Ransomware","http://antnosience.com","","",""
