IMMEDIATE THREATS NAME,IOC,MD5,Reference
Cobalt Strikes again: UAC-0056 continues to target Ukraine in its latest campaign,Ukrainebgfidjdehg14_browsingExe.exe,169b38e089926371592a5ef66ae5c52b,https://blog.malwarebytes.com/threat-intelligence/2022/07/cobalt-strikes-again-uac-0056-continues-to-target-ukraine-in-its-latest-campaign/
Cobalt Strikes again: UAC-0056 continues to target Ukraine in its latest campaign,Ukrainebgfidjdehg13_browsingXls.xls,bcc3a8f3dd5221bb296eecaa2037eafb,
Cobalt Strikes again: UAC-0056 continues to target Ukraine in its latest campaign,Ukrainebgfidjdehg12_browsingExe.exe,52c5b5e9a2ec443769dba5f44c83d7de,
Cobalt Strikes again: UAC-0056 continues to target Ukraine in its latest campaign,Ukrainebgfidjdehg11_browsingExe.exe,d25e91832f81fee791658810a9db28e3,
Cobalt Strikes again: UAC-0056 continues to target Ukraine in its latest campaign,Ukrainebgfidjdehg10_browsingXls.xls,08ffec637c2cbf33bafe340c3adb782b,
Cobalt Strikes again: UAC-0056 continues to target Ukraine in its latest campaign,Ukrainebgfidjdehg9_browsingExe.exe,28f18fc7d9a0ab530742c2314cbd5c32,
Cobalt Strikes again: UAC-0056 continues to target Ukraine in its latest campaign,Ukrainebgfidjdehg8_browsingXls.xls,c6e7af8d31a951b8c05565ab18c4f258,
Cobalt Strikes again: UAC-0056 continues to target Ukraine in its latest campaign,Ukrainebgfidjdehg_browsing7Xls.xls,0ac81d101e267c297916b29724bbf3a7,
Cobalt Strikes again: UAC-0056 continues to target Ukraine in its latest campaign,Ukrainebgfidjdehg6_browsingXls.xls,b8dcde0bd000f4d90ea338b53bfe55f7,
Cobalt Strikes again: UAC-0056 continues to target Ukraine in its latest campaign,Ukrainebgfidjdehg5_browsingXls.xls,fe5b4ae0ff040c011e9aae7d00263f0e,
Cobalt Strikes again: UAC-0056 continues to target Ukraine in its latest campaign,Ukrainebgfidjdehg4_browsingXls.xls,55c2d318b760e61e6fff271eeb0a19d0,
Cobalt Strikes again: UAC-0056 continues to target Ukraine in its latest campaign,Ukrainebgfidjdehg3_browsingXls.xls,623b4e71e976539e15f3b4605487a6a2,
Cobalt Strikes again: UAC-0056 continues to target Ukraine in its latest campaign,Ukrainebgfidjdehg2_browsingXls.xls,f76c40ebb90eda8f1cec7b56d4a1c94c,
Cobalt Strikes again: UAC-0056 continues to target Ukraine in its latest campaign,Ukrainebgfidjdehg1_browsingXls.xls,865ac7a08e76aeb18be7e5a86514c011,
Cobalt Strikes again: UAC-0056 continues to target Ukraine in its latest campaign,Ukrainebgfidjdehg14_edrExe.exe,169b38e089926371592a5ef66ae5c52b,
Cobalt Strikes again: UAC-0056 continues to target Ukraine in its latest campaign,Ukrainebgfidjdehg13_edrXls.xls,bcc3a8f3dd5221bb296eecaa2037eafb,
Cobalt Strikes again: UAC-0056 continues to target Ukraine in its latest campaign,Ukrainebgfidjdehg12_edrExe.exe,52c5b5e9a2ec443769dba5f44c83d7de,
Cobalt Strikes again: UAC-0056 continues to target Ukraine in its latest campaign,Ukrainebgfidjdehg11_edrExe.exe,d25e91832f81fee791658810a9db28e3,
Cobalt Strikes again: UAC-0056 continues to target Ukraine in its latest campaign,Ukrainebgfidjdehg10_edrXls.xls,08ffec637c2cbf33bafe340c3adb782b,
Cobalt Strikes again: UAC-0056 continues to target Ukraine in its latest campaign,Ukrainebgfidjdehg9_edrExe.exe,28f18fc7d9a0ab530742c2314cbd5c32,
Cobalt Strikes again: UAC-0056 continues to target Ukraine in its latest campaign,Ukrainebgfidjdehg8_edrXls.xls,c6e7af8d31a951b8c05565ab18c4f258,
Cobalt Strikes again: UAC-0056 continues to target Ukraine in its latest campaign,Ukrainebgfidjdehg_edr7Xls.xls,0ac81d101e267c297916b29724bbf3a7,
